"Species","Species.1","Trait","E","Est_Tpk","Est_Response","Rank","Points_Before_Peak","Est_Tpk_std","Est_Response_std","E_std","ConKingdom","ConPhylum","ConClass","ConOrder","ConFamily","ConGenus","Best_Guess","TempPref"
105,"Cylindrospermopsis raciborskii","Specific Growth Rate",0.44916493409156,304.75,0.49613957453,1,4,1.52929367795162,18.0871288542456,0.199890690900581,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
106,"Cylindrospermopsis raciborskii","Specific Growth Rate",0.421162213694195,304.55,0.472436312297,1,4,1.38825538667443,0.381066873513217,0.164399908654518,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
107,"Cylindrospermopsis raciborskii","Specific Growth Rate",0.363519517044242,306.45,0.652659872511,1,4,4.59926052373224,0.32905943619908,0.189847628876709,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
108,"Cylindrospermopsis raciborskii","Specific Growth Rate",0.342701867687103,306.15,0.421448564887,1,4,3.5898063401813,0.504271995582677,0.126753914665542,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
109,"Cylindrospermopsis raciborskii","Specific Growth Rate",4.25433692538076,309.25,0.736613278141,1,5,8.00803071345756,0.113776338207827,1.67061487102415,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
110,"Cylindrospermopsis raciborskii","Specific Growth Rate",0.477944663222758,301.45,0.497180625038,1,5,1.20438032437255,0.0481633384645233,0.114689070348002,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
111,"Cylindrospermopsis raciborskii","Specific Growth Rate",3.4813042271801,302.05,0.784660686674,1,4,1.27671562406081,0.626536613258313,1.88199857233889,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
112,"Cylindrospermopsis raciborskii","Specific Growth Rate",2.02628264522889,301.25,0.608575147209,1,4,0.853717709312035,0.14084245258088,0.985908320581985,"Bacteria","Cyanobacteria","Cyanophyceae","Nostocales","Nostocaceae","Cylindrospermopsis","PhotosystemII","Mesophile"
113,"Deferribacter thermophilus","Specific Growth Rate",1.03391089282093,331.5529,17.1018558736,1,4,1.35234187447006,3.39300603952763,0.490115696881947,"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae","Deferribacter","N14","Thermophile"
114,"Deinococcus geothermalis","Specific Growth Rate",0.821508850364783,320.9499,20.2847035811,1,5,0.874137655063748,1.66677464364694,0.163904784320367,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Aerobic","Thermophile"
115,"Deinococcus murrayi","Specific Growth Rate",0.483796307838189,323.5499,18.1996459827,1,6,1.49487165224291,29.6423592928607,0.134792718973604,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Aerobic","Thermophile"
117,"Desulfitobacterium dehalogenans","Specific Growth Rate",0.806366293945636,311.58982,3.8549909045,1,16,0.421197863242539,0.184245220558413,0.0926592272455429,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfitobacterium","Fermentation","Mesophile"
118,"Desulfobacter curvatus","Specific Growth Rate",0.802479513368541,304.32228,0.946675736985,1,19,0.252368282476283,0.0258612121987358,0.0612473368015909,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacter","Fermentation","Mesophile"
120,"Desulfofaba gelida","Specific Growth Rate",1.04342475558557,280.47938,0.141914730003,1,8,0.114936080076538,0.0232302525344683,0.217500562259453,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfofaba","C1","Mesophile"
121,"Desulfofrigus fragile","Specific Growth Rate",0.377518862891873,294.24456,0.886577351998,1,17,0.719137833278276,0.171388603416577,0.0371699659372213,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfofrigus","C1","Mesophile"
123,"Desulfofrigus oceanense","Specific Growth Rate",1.18920716453289,282.23845,0.103300421727,1,10,0.475979789487015,0.0091597140238579,0.254920143709214,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfofrigus","C1","Mesophile"
125,"Desulforhopalus vacuolatus","Specific Growth Rate",0.616474115240445,294.596967,0.753520635602,1,20,0.32485593497514,0.0702962020796961,0.0606188864772495,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulforhopalus","Fermentation","Mesophile"
127,"Desulfotalea arctica","Specific Growth Rate",0.383470409795475,294.07252,0.514335249007,1,18,9.79811639776575,0.209521783157492,0.0687231246765753,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea","C1","Mesophile"
129,"Desulfotalea psychrophila","Specific Growth Rate",0.627839427407851,284.34799,0.611118117463,1,28,0.455222978330504,0.0253692464556878,0.0974365857467818,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea","C1","Mesophile"
131,"Desulfotomaculum alkaliphilum","Specific Growth Rate",0.830949054785272,325.6328,1.07520706719,1,4,0.218051347163969,0.0339198291117894,0.060445055257157,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","C1","Thermophile"
132,"Desulfotomaculum putei","Specific Growth Rate",0.985600344432733,337.2257,9.37420845637,1,16,0,0,0,"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfotomaculum","C1","Thermophile"
137,"Desulfurobacterium crinifex","Specific Growth Rate",1.50677782019408,335.3306,14.951373729,1,4,0.490083574505522,1.20471205743539,0.270870852746279,"Bacteria","Aquificae","Aquificae","Desulfurobacteriales","Desulfurobacteriaceae","Desulfurobacterium","B1","Thermophile"
138,"Desulfurococcus sp. s","Specific Growth Rate",0.556891708250813,360.5238,36.7970724007,1,7,1.66781816295816,11.0000247714198,0.092352340498167,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","C19","Thermophile"
139,"Desulfurococcus sp. sy","Specific Growth Rate",0.525548983360071,361.9555,32.1300970648,1,6,1.01719340844227,2.85819909429204,0.104447374426483,"Archaea","Crenarchaeota","Thermoprotei","Desulfurococcales","Desulfurococcaceae","Desulfurococcus","C19","Thermophile"
