Species,Species,Trait,E,Est_Tpk,Est_Response,Rank,Points_Before_Peak,Est_Tpk_std,Est_Response_std,E_std,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,Best_Guess,TempPref
73,Brevibacterium sp.,Specific Growth Rate,3.4238933745308247,NA,NA,1,18,NA,NA,NA,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Fermentation,Mesophile
74,Brevibacterium sp.,Specific Growth Rate,0.010000000000000007,NA,NA,1,12,NA,NA,NA,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Fermentation,Mesophile
75,Brevibacterium sp. cr3/1/15,Specific Growth Rate,1.0125810905356547,292.105568863,2.00200553219,1,23,1.8341849597448627,103.20788151911717,0.5297508544897077,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Fermentation,Mesophile
76,Brevibacterium sp. cr3/1/15,Specific Growth Rate,0.010000000000000007,NA,NA,1,11,NA,NA,NA,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,Fermentation,Mesophile
77,Brochothrix thermosphacta,Specific Growth Rate,0.6704147725292655,300.7637062,30.6035303515,1,6,1.8626286531118057,86.40091739676592,0.08847498830549211,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Brochothrix,Aerobic,Mesophile
78,Caldanaerobacter subterraneus,Specific Growth Rate,0.8426197785082243,339.9604,6.28240413727,1,5,1.0675059531452358,0.6493130653830513,0.2043570151262913,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Fermentation,Thermophile
79,Caldanaerobacter subterraneus,Specific Growth Rate,1.0219452520748091,347.3964,15.755123942400001,1,4,1.0297099810081536,2.020452767631588,0.2600177174532323,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Fermentation,Thermophile
80,Caldanaerobacter subterraneus,Specific Growth Rate,1.001120789258814,347.0372,6.44707852824,1,7,0.4651010642861381,0.2698344246361003,0.10094931566266106,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Caldanaerobacter,Fermentation,Thermophile
81,Caldicellulosiruptor obsidiansis,Specific Growth Rate,0.18505529845203214,350.0893,15.9908926508,1,3,4.464359384062648,33.61603466395545,0.2408866492854828,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Fermentation,Thermophile
82,Caldisphaera draconis,Specific Growth Rate,1.901609806129936,344.25,0.652303494988,1,4,0.9944765355573002,0.7885371779291644,0.9325802774218834,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,C19,Thermophile
